"Step","generous-plasma-100 - Training PPL","generous-plasma-100 - Training PPL__MIN","generous-plasma-100 - Training PPL__MAX"
"81","26.065503267656418","26.065503267656418","26.065503267656418"
"82","20.26679053197763","20.26679053197763","20.26679053197763"
"83","16.450598700550902","16.450598700550902","16.450598700550902"
"84","30.018002788149303","30.018002788149303","30.018002788149303"
"85","34.05037654606652","34.05037654606652","34.05037654606652"
"86","28.127269204599315","28.127269204599315","28.127269204599315"
"87","32.386686904202996","32.386686904202996","32.386686904202996"
"88","18.580111277861594","18.580111277861594","18.580111277861594"
"90","26.279653626924247","26.279653626924247","26.279653626924247"
"91","21.919091123896266","21.919091123896266","21.919091123896266"
"92","22.455879587284056","22.455879587284056","22.455879587284056"
"93","32.27404767268881","32.27404767268881","32.27404767268881"
"94","29.006822506796052","29.006822506796052","29.006822506796052"
"95","23.045240866082807","23.045240866082807","23.045240866082807"
"96","26.135977583713988","26.135977583713988","26.135977583713988"
"97","19.332155918559973","19.332155918559973","19.332155918559973"
"98","27.424463980405058","27.424463980405058","27.424463980405058"
"99","23.64868868738599","23.64868868738599","23.64868868738599"
"102","17.066076078714083","17.066076078714083","17.066076078714083"
"103","27.37674179491303","27.37674179491303","27.37674179491303"
"104","26.516398865158994","26.516398865158994","26.516398865158994"
"105","23.20237593565538","23.20237593565538","23.20237593565538"
"106","16.863864535627343","16.863864535627343","16.863864535627343"
"107","17.269238244862375","17.269238244862375","17.269238244862375"
"108","18.23133788885554","18.23133788885554","18.23133788885554"
"109","24.39526037304866","24.39526037304866","24.39526037304866"
"110","26.097359603447302","26.097359603447302","26.097359603447302"
"111","22.600303017817726","22.600303017817726","22.600303017817726"
"113","19.029525649361","19.029525649361","19.029525649361"
"114","22.04577672469255","22.04577672469255","22.04577672469255"
"115","23.161531353785232","23.161531353785232","23.161531353785232"
"116","18.03904879932948","18.03904879932948","18.03904879932948"
"117","14.831411095051392","14.831411095051392","14.831411095051392"
"118","26.687109035938594","26.687109035938594","26.687109035938594"
"119","30.65482432564781","30.65482432564781","30.65482432564781"
"120","25.667569055084748","25.667569055084748","25.667569055084748"
"121","28.696907102921998","28.696907102921998","28.696907102921998"
"122","17.023544375891188","17.023544375891188","17.023544375891188"
"124","23.79253422252971","23.79253422252971","23.79253422252971"
"125","19.816426807186332","19.816426807186332","19.816426807186332"
