"Step","tough-rain-98 - Training PPL","tough-rain-98 - Training PPL__MIN","tough-rain-98 - Training PPL__MAX"
"74","18.04225751458226","18.04225751458226","18.04225751458226"
"75","30.40511536164941","30.40511536164941","30.40511536164941"
"76","19.571942067878453","19.571942067878453","19.571942067878453"
"77","23.561821664284242","23.561821664284242","23.561821664284242"
"78","17.024270903931853","17.024270903931853","17.024270903931853"
"79","18.685275467026244","18.685275467026244","18.685275467026244"
"81","17.889764011690406","17.889764011690406","17.889764011690406"
"82","22.458465669353334","22.458465669353334","22.458465669353334"
"83","26.018905145435614","26.018905145435614","26.018905145435614"
"84","32.00524212811432","32.00524212811432","32.00524212811432"
"85","25.544864937651283","25.544864937651283","25.544864937651283"
"86","21.377782472029818","21.377782472029818","21.377782472029818"
"87","29.344701598769824","29.344701598769824","29.344701598769824"
"88","22.437833495207684","22.437833495207684","22.437833495207684"
"89","21.000217102387367","21.000217102387367","21.000217102387367"
"90","14.123256798247128","14.123256798247128","14.123256798247128"
"92","26.91909032547862","26.91909032547862","26.91909032547862"
"93","16.958372608397788","16.958372608397788","16.958372608397788"
"94","20.73611862463294","20.73611862463294","20.73611862463294"
"95","15.552930935362628","15.552930935362628","15.552930935362628"
"96","22.7929114193701","22.7929114193701","22.7929114193701"
"97","20.036660097790843","20.036660097790843","20.036660097790843"
"98","26.93584654781057","26.93584654781057","26.93584654781057"
"99","22.794253719521215","22.794253719521215","22.794253719521215"
"100","18.047747203177163","18.047747203177163","18.047747203177163"
"101","17.04496764149189","17.04496764149189","17.04496764149189"
"103","19.46270166661208","19.46270166661208","19.46270166661208"
"105","22.268147226578943","22.268147226578943","22.268147226578943"
"106","19.298704063762084","19.298704063762084","19.298704063762084"
"107","19.10129522302629","19.10129522302629","19.10129522302629"
"108","22.489194819260092","22.489194819260092","22.489194819260092"
"109","15.572867364791268","15.572867364791268","15.572867364791268"
"110","25.766996979705166","25.766996979705166","25.766996979705166"
"111","16.553814269471044","16.553814269471044","16.553814269471044"
"112","20.388913218115164","20.388913218115164","20.388913218115164"
"113","14.921258222024676","14.921258222024676","14.921258222024676"
"114","16.289549503955683","16.289549503955683","16.289549503955683"
"116","16.031857815409886","16.031857815409886","16.031857815409886"
"117","19.577332403405943","19.577332403405943","19.577332403405943"
"118","22.725398621271534","22.725398621271534","22.725398621271534"
"119","27.809639619700565","27.809639619700565","27.809639619700565"
"120","22.72396827277318","22.72396827277318","22.72396827277318"
"121","19.133351102213876","19.133351102213876","19.133351102213876"
"122","26.156542737747497","26.156542737747497","26.156542737747497"
"123","20.087270530991177","20.087270530991177","20.087270530991177"
"124","19.034939051212845","19.034939051212845","19.034939051212845"
